Model,Log-Likelihood,AIC,BIC,Delta AIC,Delta BIC,AIC Rank,Relative Likelihood,Akaike Weight,BIC Rank,MSE_vs_KM,RMSE_vs_KM
Weibull,-190726.7445745438,381457.4891490876,381478.5589448094,0.0,0.0,1,1.0,1.0,1,0.027664723776823188,0.16632715886716512
Log-Logistic,-190884.30233941026,381772.6046788205,381793.6744745424,315.1155297329533,315.1155297329533,2,3.745692638665696e-69,3.745692638665696e-69,2,0.029161305446607357,0.17076681599950078
Log-Normal,-191660.03794012655,383324.0758802531,383345.14567597496,1866.586731165531,1866.586731165531,3,0.0,0.0,3,0.0333682952113423,0.18266990778818032
